GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0051240	positive regulation of multicellular org...	1832	1103	892.44	3.0e-25
GO:0070887	cellular response to chemical stimulus	2661	1542	1296.28	8.8e-25
GO:0002521	leukocyte differentiation	669	455	325.9	9.2e-25
GO:0002683	negative regulation of immune system pro...	549	384	267.44	1.5e-24
GO:0051234	establishment of localization	4581	2534	2231.6	1.8e-24
GO:0009967	positive regulation of signal transducti...	1621	985	789.66	2.3e-24
GO:0002697	regulation of immune effector process	427	310	208.01	3.2e-24
GO:0030097	hemopoiesis	1031	659	502.24	5.0e-24
GO:0051249	regulation of lymphocyte activation	521	366	253.8	5.2e-24
GO:0031349	positive regulation of defense response	511	360	248.93	5.5e-24
GO:0032101	regulation of response to external stimu...	1131	714	550.96	8.3e-24
GO:0010033	response to organic substance	2701	1557	1315.77	1.1e-23
GO:0071704	organic substance metabolic process	10364	5404	5048.74	1.3e-23
GO:0035556	intracellular signal transduction	2604	1503	1268.52	4.1e-23
GO:0009615	response to virus	351	261	170.99	4.6e-23
GO:0051128	regulation of cellular component organiz...	2572	1485	1252.93	6.7e-23
GO:0001819	positive regulation of cytokine producti...	530	368	258.19	1.1e-22
GO:0008219	cell death	2062	1213	1004.49	1.8e-22
GO:0012501	programmed cell death	2061	1212	1004	2.2e-22
GO:0042127	regulation of cell population proliferat...	1723	1031	839.35	2.5e-22
GO:0045089	positive regulation of innate immune res...	383	279	186.58	2.8e-22
GO:0050896	response to stimulus	8827	4640	4300	3.8e-22
GO:0007159	leukocyte cell-cell adhesion	422	302	205.57	5.3e-22
GO:0051607	defense response to virus	294	223	143.22	9.0e-22
GO:0051641	cellular localization	3484	1953	1697.2	9.7e-22
GO:1903131	mononuclear cell differentiation	504	350	245.52	1.2e-21
GO:0002443	leukocyte mediated immunity	457	322	222.62	1.3e-21
GO:0006810	transport	4297	2369	2093.25	1.5e-21
GO:0002833	positive regulation of response to bioti...	409	293	199.24	1.7e-21
GO:0019222	regulation of metabolic process	6294	3377	3066.07	2.3e-21
GO:0043170	macromolecule metabolic process	8825	4632	4299.03	2.6e-21
GO:0045785	positive regulation of cell adhesion	520	358	253.31	4.2e-21
GO:0030155	regulation of cell adhesion	818	529	398.48	5.0e-21
GO:0051241	negative regulation of multicellular org...	1253	770	610.39	6.3e-21
GO:0022409	positive regulation of cell-cell adhesio...	334	246	162.71	7.3e-21
GO:0006915	apoptotic process	1985	1163	966.98	1.1e-20
GO:0044237	cellular metabolic process	9414	4915	4585.95	1.2e-20
GO:0010647	positive regulation of cell communicatio...	1918	1127	934.34	1.3e-20
GO:0032879	regulation of localization	2192	1272	1067.81	1.4e-20
GO:0023056	positive regulation of signaling	1919	1126	934.82	2.5e-20
GO:0006807	nitrogen compound metabolic process	9008	4713	4388.17	2.7e-20
GO:0002703	regulation of leukocyte mediated immunit...	273	207	132.99	2.8e-20
GO:0050867	positive regulation of cell activation	399	284	194.37	3.2e-20
GO:0050863	regulation of T cell activation	391	279	190.47	3.9e-20
GO:0022407	regulation of cell-cell adhesion	506	347	246.49	4.7e-20
GO:0031323	regulation of cellular metabolic process	5725	3081	2788.89	4.8e-20
GO:0034097	response to cytokine	950	598	462.78	1.2e-19
GO:0002263	cell activation involved in immune respo...	298	221	145.17	1.7e-19
GO:0070661	leukocyte proliferation	387	275	188.52	1.9e-19
GO:0019221	cytokine-mediated signaling pathway	436	304	212.39	2.3e-19
GO:0098609	cell-cell adhesion	875	555	426.25	2.6e-19
GO:0002768	immune response-regulating cell surface ...	297	220	144.68	2.6e-19
GO:0002366	leukocyte activation involved in immune ...	294	218	143.22	3.1e-19
GO:0016477	cell migration	1557	927	758.48	3.3e-19
GO:1903039	positive regulation of leukocyte cell-ce...	283	211	137.86	3.9e-19
GO:0002696	positive regulation of leukocyte activat...	375	267	182.68	4.1e-19
GO:1902531	regulation of intracellular signal trans...	1745	1027	850.06	4.3e-19
GO:0007155	cell adhesion	1458	873	710.25	4.7e-19
GO:0046651	lymphocyte proliferation	346	249	168.55	6.9e-19
GO:0030098	lymphocyte differentiation	450	311	219.21	7.0e-19
GO:0051716	cellular response to stimulus	7291	3853	3551.75	7.2e-19
GO:0032943	mononuclear cell proliferation	353	253	171.96	8.7e-19
GO:0009893	positive regulation of metabolic process	3699	2043	1801.94	1.1e-18
GO:0002699	positive regulation of immune effector p...	283	210	137.86	1.2e-18
GO:0033036	macromolecule localization	3053	1710	1487.24	1.2e-18
GO:1903037	regulation of leukocyte cell-cell adhesi...	387	273	188.52	1.3e-18
GO:0065009	regulation of molecular function	2211	1271	1077.07	1.3e-18
GO:0010628	positive regulation of gene expression	1255	761	611.36	1.4e-18
GO:0002429	immune response-activating cell surface ...	287	212	139.81	2.0e-18
GO:1901564	organonitrogen compound metabolic proces...	5798	3104	2824.45	2.2e-18
GO:0044238	primary metabolic process	9525	4947	4640.03	3.6e-18
GO:0060255	regulation of macromolecule metabolic pr...	5783	3092	2817.14	7.3e-18
GO:0002460	adaptive immune response based on somati...	367	259	178.78	9.0e-18
GO:0050870	positive regulation of T cell activation	257	192	125.2	1.1e-17
GO:0048585	negative regulation of response to stimu...	1742	1018	848.6	1.1e-17
GO:0007165	signal transduction	5746	3069	2799.12	2.4e-17
GO:1902533	positive regulation of intracellular sig...	1073	656	522.7	3.2e-17
GO:0002274	myeloid leukocyte activation	261	193	127.14	5.7e-17
GO:0031325	positive regulation of cellular metaboli...	3327	1839	1620.72	7.3e-17
GO:0002449	lymphocyte mediated immunity	349	246	170.01	7.6e-17
GO:0051251	positive regulation of lymphocyte activa...	339	240	165.14	7.8e-17
GO:0071345	cellular response to cytokine stimulus	854	534	416.02	8.0e-17
GO:0032502	developmental process	6424	3402	3129.4	1.1e-16
GO:0042098	T cell proliferation	254	188	123.73	1.2e-16
GO:0010604	positive regulation of macromolecule met...	3360	1854	1636.8	1.3e-16
GO:0040011	locomotion	1268	759	617.7	1.3e-16
GO:0070727	cellular macromolecule localization	2599	1461	1266.08	1.5e-16
GO:0051130	positive regulation of cellular componen...	1263	756	615.26	1.6e-16
GO:0046631	alpha-beta T cell activation	208	159	101.33	1.8e-16
GO:0030154	cell differentiation	4461	2413	2173.14	2.5e-16
GO:0048869	cellular developmental process	4461	2413	2173.14	2.5e-16
GO:0008104	protein localization	2587	1453	1260.24	2.8e-16
GO:0019538	protein metabolic process	4822	2594	2349	3.7e-16
GO:0048856	anatomical structure development	6031	3201	2937.95	3.8e-16
GO:0043067	regulation of programmed cell death	1621	945	789.66	4.9e-16
GO:0050670	regulation of lymphocyte proliferation	269	195	131.04	1.3e-15
GO:0141124	intracellular signaling cassette	1788	1031	871.01	1.3e-15
GO:0032944	regulation of mononuclear cell prolifera...	274	198	133.48	1.3e-15
GO:0023052	signaling	6280	3319	3059.25	1.8e-15
GO:0002285	lymphocyte activation involved in immune...	200	152	97.43	2.1e-15
GO:0044087	regulation of cellular component biogene...	1029	624	501.27	2.2e-15
GO:0051049	regulation of transport	1786	1028	870.04	2.8e-15
GO:0071702	organic substance transport	2377	1337	1157.94	3.1e-15
GO:0007154	cell communication	6383	3368	3109.43	3.1e-15
GO:0002706	regulation of lymphocyte mediated immuni...	204	154	99.38	3.8e-15
GO:0048468	cell development	3115	1717	1517.45	4.4e-15
GO:0010648	negative regulation of cell communicatio...	1486	868	723.89	4.5e-15
GO:0071705	nitrogen compound transport	1943	1109	946.52	5.1e-15
GO:0044093	positive regulation of molecular functio...	1260	747	613.8	5.1e-15
GO:0023057	negative regulation of signaling	1483	866	722.43	5.4e-15
GO:0008284	positive regulation of cell population p...	1005	609	489.58	6.0e-15
GO:0070663	regulation of leukocyte proliferation	295	209	143.71	6.8e-15
GO:0030217	T cell differentiation	334	232	162.71	8.2e-15
GO:0031326	regulation of cellular biosynthetic proc...	4860	2601	2367.51	9.1e-15
GO:0002218	activation of innate immune response	299	211	145.66	9.9e-15
GO:0010556	regulation of macromolecule biosynthetic...	4706	2523	2292.49	1.0e-14
GO:0009889	regulation of biosynthetic process	4904	2622	2388.94	1.2e-14
GO:0031324	negative regulation of cellular metaboli...	2607	1452	1269.98	1.3e-14
GO:0050790	regulation of catalytic activity	1525	886	742.89	1.4e-14
GO:0009892	negative regulation of metabolic process	2948	1627	1436.09	1.6e-14
GO:0032609	type II interferon production	140	112	68.2	1.9e-14
GO:0050793	regulation of developmental process	2600	1447	1266.57	2.0e-14
GO:0044249	cellular biosynthetic process	7213	3772	3513.75	2.1e-14
GO:0009058	biosynthetic process	7355	3842	3582.93	2.2e-14
GO:0035456	response to interferon-beta	70	64	34.1	2.4e-14
GO:0042981	regulation of apoptotic process	1571	909	765.3	2.5e-14
GO:0030334	regulation of cell migration	1001	604	487.63	2.5e-14
GO:0007049	cell cycle	1748	1002	851.52	2.9e-14
GO:0051171	regulation of nitrogen compound metaboli...	5138	2736	2502.93	3.0e-14
GO:0080090	regulation of primary metabolic process	5324	2829	2593.54	3.3e-14
GO:0022607	cellular component assembly	2912	1606	1418.56	3.5e-14
GO:0050777	negative regulation of immune response	217	160	105.71	4.0e-14
GO:0009059	macromolecule biosynthetic process	6403	3367	3119.17	4.1e-14
GO:0048870	cell motility	1784	1020	869.06	4.1e-14
GO:2000145	regulation of cell motility	1055	632	513.93	4.6e-14
GO:1901576	organic substance biosynthetic process	7292	3807	3552.24	5.3e-14
GO:0002819	regulation of adaptive immune response	224	164	109.12	5.5e-14
GO:0044085	cellular component biogenesis	3183	1743	1550.57	6.3e-14
GO:0002822	regulation of adaptive immune response b...	208	154	101.33	6.6e-14
GO:0010468	regulation of gene expression	4582	2453	2232.08	6.8e-14
GO:0009056	catabolic process	2427	1353	1182.29	8.7e-14
GO:0040012	regulation of locomotion	1099	654	535.37	1.0e-13
GO:1901700	response to oxygen-containing compound	1612	927	785.27	1.1e-13
GO:0051094	positive regulation of developmental pro...	1480	857	720.97	1.2e-13
GO:0016192	vesicle-mediated transport	1533	885	746.79	1.2e-13
GO:0030335	positive regulation of cell migration	590	375	287.41	1.3e-13
GO:0009968	negative regulation of signal transducti...	1347	786	656.18	1.4e-13
GO:0051336	regulation of hydrolase activity	829	507	403.84	1.4e-13
GO:1902105	regulation of leukocyte differentiation	350	238	170.5	1.5e-13
GO:0002705	positive regulation of leukocyte mediate...	169	129	82.33	1.5e-13
GO:1903555	regulation of tumor necrosis factor supe...	206	152	100.35	1.6e-13
GO:0031341	regulation of cell killing	127	102	61.87	1.7e-13
GO:0002758	innate immune response-activating signal...	274	193	133.48	1.8e-13
GO:2000147	positive regulation of cell motility	615	388	299.59	2.4e-13
GO:0001906	cell killing	238	171	115.94	2.6e-13
GO:0002700	regulation of production of molecular me...	215	157	104.74	2.7e-13
GO:0032649	regulation of type II interferon product...	126	101	61.38	2.9e-13
GO:0040017	positive regulation of locomotion	631	396	307.39	4.1e-13
GO:0032680	regulation of tumor necrosis factor prod...	203	149	98.89	5.5e-13
GO:0036211	protein modification process	2945	1613	1434.63	6.7e-13
GO:0009891	positive regulation of biosynthetic proc...	2647	1460	1289.46	6.7e-13
GO:0035458	cellular response to interferon-beta	61	56	29.72	6.9e-13
GO:0002753	cytoplasmic pattern recognition receptor...	176	132	85.74	8.0e-13
GO:0031328	positive regulation of cellular biosynth...	2619	1444	1275.82	1.1e-12
GO:0009617	response to bacterium	725	446	353.18	1.2e-12
GO:0045184	establishment of protein localization	1720	977	837.88	1.3e-12
GO:0043412	macromolecule modification	3139	1709	1529.14	1.6e-12
GO:0071706	tumor necrosis factor superfamily cytoki...	213	154	103.76	1.8e-12
GO:0000278	mitotic cell cycle	862	520	419.92	1.8e-12
GO:0032729	positive regulation of type II interfero...	89	75	43.36	2.7e-12
GO:0050866	negative regulation of cell activation	227	162	110.58	2.8e-12
GO:0042113	B cell activation	286	197	139.32	3.0e-12
GO:0050851	antigen receptor-mediated signaling path...	186	137	90.61	3.0e-12
GO:0033043	regulation of organelle organization	1188	694	578.72	3.1e-12
GO:0051649	establishment of localization in cell	2028	1135	987.92	3.3e-12
GO:0046634	regulation of alpha-beta T cell activati...	135	105	65.76	3.5e-12
GO:0001909	leukocyte mediated cytotoxicity	151	115	73.56	4.1e-12
GO:0007275	multicellular organism development	4961	2626	2416.71	4.6e-12
GO:2000026	regulation of multicellular organismal d...	1553	886	756.53	4.6e-12
GO:0002695	negative regulation of leukocyte activat...	208	150	101.33	4.7e-12
GO:0010557	positive regulation of macromolecule bio...	2520	1388	1227.6	4.9e-12
GO:0046632	alpha-beta T cell differentiation	137	106	66.74	5.0e-12
GO:0043254	regulation of protein-containing complex...	442	286	215.32	5.6e-12
GO:0051246	regulation of protein metabolic process	2232	1239	1087.3	5.7e-12
GO:0051726	regulation of cell cycle	1054	621	513.45	5.8e-12
GO:0032640	tumor necrosis factor production	210	151	102.3	5.8e-12
GO:0042129	regulation of T cell proliferation	210	151	102.3	5.8e-12
GO:0002573	myeloid leukocyte differentiation	274	189	133.48	6.7e-12
GO:1903706	regulation of hemopoiesis	434	281	211.42	7.7e-12
GO:0010605	negative regulation of macromolecule met...	2716	1487	1323.08	7.9e-12
GO:0002708	positive regulation of lymphocyte mediat...	144	110	70.15	8.6e-12
GO:0051345	positive regulation of hydrolase activit...	468	300	227.98	8.8e-12
GO:0007167	enzyme-linked receptor protein signaling...	967	573	471.07	1.1e-11
GO:0002221	pattern recognition receptor signaling p...	263	182	128.12	1.1e-11
GO:0033554	cellular response to stress	1789	1007	871.5	1.1e-11
GO:0001910	regulation of leukocyte mediated cytotox...	110	88	53.59	1.2e-11
GO:0001944	vasculature development	801	483	390.2	1.3e-11
GO:1903557	positive regulation of tumor necrosis fa...	132	102	64.3	1.4e-11
GO:0006796	phosphate-containing compound metabolic ...	2585	1417	1259.26	1.8e-11
GO:0065003	protein-containing complex assembly	1505	857	733.15	1.9e-11
GO:0010467	gene expression	5947	3112	2897.03	1.9e-11
GO:0006793	phosphorus metabolic process	2607	1428	1269.98	1.9e-11
GO:0034341	response to type II interferon	142	108	69.17	2.1e-11
GO:0009719	response to endogenous stimulus	1611	912	784.79	2.3e-11
GO:0048731	system development	4001	2136	1949.05	2.4e-11
GO:0015031	protein transport	1455	830	708.79	2.4e-11
GO:0031343	positive regulation of cell killing	91	75	44.33	2.5e-11
GO:0006996	organelle organization	3496	1880	1703.05	2.7e-11
GO:0051173	positive regulation of nitrogen compound...	2915	1584	1420.02	3.0e-11
GO:0043085	positive regulation of catalytic activit...	901	535	438.91	3.3e-11
GO:0032760	positive regulation of tumor necrosis fa...	130	100	63.33	3.7e-11
GO:0022402	cell cycle process	1258	725	612.82	3.8e-11
GO:0042592	homeostatic process	1821	1020	887.09	3.8e-11
GO:0051250	negative regulation of lymphocyte activa...	185	134	90.12	3.9e-11
GO:0007169	transmembrane receptor protein tyrosine ...	620	382	302.03	3.9e-11
GO:0042221	response to chemical	3890	2077	1894.98	4.8e-11
GO:0035710	CD4-positive, alpha-beta T cell activati...	132	101	64.3	5.1e-11
GO:0002718	regulation of cytokine production involv...	140	106	68.2	5.3e-11
GO:0051301	cell division	623	383	303.49	5.5e-11
GO:1903047	mitotic cell cycle process	733	443	357.07	5.8e-11
GO:1902107	positive regulation of leukocyte differe...	209	148	101.81	6.2e-11
GO:1903708	positive regulation of hemopoiesis	209	148	101.81	6.2e-11
GO:0002821	positive regulation of adaptive immune r...	150	112	73.07	6.9e-11
GO:0002824	positive regulation of adaptive immune r...	142	107	69.17	7.1e-11
GO:0002286	T cell activation involved in immune res...	112	88	54.56	7.4e-11
GO:0045595	regulation of cell differentiation	1677	943	816.94	7.4e-11
GO:0050727	regulation of inflammatory response	380	247	185.11	7.9e-11
GO:0009890	negative regulation of biosynthetic proc...	2214	1221	1078.53	8.0e-11
GO:0001568	blood vessel development	768	461	374.12	9.4e-11
GO:0010629	negative regulation of gene expression	1153	667	561.67	9.7e-11
GO:0098657	import into cell	932	549	454.02	1.1e-10
GO:0140352	export from cell	1007	589	490.55	1.1e-10
GO:0050900	leukocyte migration	381	247	185.6	1.2e-10
GO:0043068	positive regulation of programmed cell d...	657	400	320.05	1.3e-10
GO:0032611	interleukin-1 beta production	108	85	52.61	1.3e-10
GO:0019882	antigen processing and presentation	116	90	56.51	1.5e-10
GO:0060759	regulation of response to cytokine stimu...	161	118	78.43	1.6e-10
GO:0002698	negative regulation of immune effector p...	148	110	72.1	1.6e-10
GO:1901701	cellular response to oxygen-containing c...	1200	690	584.57	2.0e-10
GO:0031327	negative regulation of cellular biosynth...	2191	1206	1067.33	2.0e-10
GO:0060341	regulation of cellular localization	1087	630	529.52	2.2e-10
GO:0032675	regulation of interleukin-6 production	168	122	81.84	2.2e-10
GO:0060284	regulation of cell development	954	559	464.73	2.3e-10
GO:0044248	cellular catabolic process	1473	833	717.56	2.4e-10
GO:0097190	apoptotic signaling pathway	656	398	319.56	2.8e-10
GO:0051174	regulation of phosphorus metabolic proce...	1251	716	609.41	2.8e-10
GO:0048002	antigen processing and presentation of p...	68	58	33.13	3.1e-10
GO:0032612	interleukin-1 production	128	97	62.35	3.2e-10
GO:0046635	positive regulation of alpha-beta T cell...	92	74	44.82	3.2e-10
GO:0019220	regulation of phosphate metabolic proces...	1250	715	608.93	3.4e-10
GO:0045824	negative regulation of innate immune res...	117	90	57	3.5e-10
GO:0051247	positive regulation of protein metabolic...	1285	733	625.98	3.9e-10
GO:0001959	regulation of cytokine-mediated signalin...	151	111	73.56	4.2e-10
GO:0043367	CD4-positive, alpha-beta T cell differen...	100	79	48.71	4.2e-10
GO:0002237	response to molecule of bacterial origin	321	211	156.37	4.3e-10
GO:0002702	positive regulation of production of mol...	153	112	74.53	5.4e-10
GO:0032940	secretion by cell	939	549	457.43	5.4e-10
GO:0002367	cytokine production involved in immune r...	163	118	79.4	5.9e-10
GO:0016310	phosphorylation	1647	921	802.32	6.0e-10
GO:0001912	positive regulation of leukocyte mediate...	82	67	39.95	6.2e-10
GO:0032651	regulation of interleukin-1 beta product...	102	80	49.69	6.3e-10
GO:0030099	myeloid cell differentiation	475	297	231.39	6.4e-10
GO:0045597	positive regulation of cell differentiat...	985	573	479.83	6.7e-10
GO:0043069	negative regulation of programmed cell d...	991	576	482.76	7.2e-10
GO:0065008	regulation of biological quality	2997	1613	1459.96	7.9e-10
GO:0051129	negative regulation of cellular componen...	786	466	382.89	8.6e-10
GO:0010558	negative regulation of macromolecule bio...	2133	1171	1039.07	8.8e-10
GO:0050671	positive regulation of lymphocyte prolif...	167	120	81.35	9.1e-10
GO:0043408	regulation of MAPK cascade	716	428	348.79	9.7e-10
GO:0050854	regulation of antigen receptor-mediated ...	66	56	32.15	9.7e-10
GO:0006897	endocytosis	705	422	343.43	9.9e-10
GO:0048525	negative regulation of viral process	112	86	54.56	1.0e-09
GO:0044089	positive regulation of cellular componen...	548	336	266.95	1.3e-09
GO:0002228	natural killer cell mediated immunity	92	73	44.82	1.4e-09
GO:0032652	regulation of interleukin-1 production	122	92	59.43	1.4e-09
GO:0001818	negative regulation of cytokine producti...	303	199	147.6	1.5e-09
GO:0010564	regulation of cell cycle process	729	434	355.13	1.6e-09
GO:0043933	protein-containing complex organization	2213	1210	1078.04	1.6e-09
GO:0043065	positive regulation of apoptotic process	635	383	309.34	1.7e-09
GO:0001562	response to protozoan	45	41	21.92	1.7e-09
GO:0071495	cellular response to endogenous stimulus	1398	788	681.02	1.7e-09
GO:0010720	positive regulation of cell development	551	337	268.42	1.8e-09
GO:0032946	positive regulation of mononuclear cell ...	170	121	82.81	2.0e-09
GO:0008285	negative regulation of cell population p...	745	442	362.92	2.1e-09
GO:0032880	regulation of protein localization	981	568	477.89	2.1e-09
GO:0009057	macromolecule catabolic process	1359	767	662.03	2.1e-09
GO:0050868	negative regulation of T cell activation	152	110	74.05	2.3e-09
GO:0043410	positive regulation of MAPK cascade	516	317	251.37	2.8e-09
GO:0048514	blood vessel morphogenesis	661	396	322	2.8e-09
GO:2001233	regulation of apoptotic signaling pathwa...	426	267	207.52	3.3e-09
GO:0009894	regulation of catabolic process	974	563	474.48	3.5e-09
GO:0000165	MAPK cascade	794	467	386.79	3.7e-09
GO:0031399	regulation of protein modification proce...	1301	735	633.77	3.8e-09
GO:1901698	response to nitrogen compound	1058	607	515.4	4.2e-09
GO:0006914	autophagy	501	308	244.06	4.2e-09
GO:0061919	process utilizing autophagic mechanism	501	308	244.06	4.2e-09
GO:0002292	T cell differentiation involved in immun...	84	67	40.92	4.3e-09
GO:0002704	negative regulation of leukocyte mediate...	84	67	40.92	4.3e-09
GO:0050673	epithelial cell proliferation	494	304	240.65	4.6e-09
GO:0046903	secretion	1068	612	520.27	4.7e-09
GO:0010243	response to organonitrogen compound	951	550	463.27	4.9e-09
GO:0045619	regulation of lymphocyte differentiation	219	149	106.68	4.9e-09
GO:0070665	positive regulation of leukocyte prolife...	185	129	90.12	4.9e-09
GO:0072359	circulatory system development	1209	686	588.95	5.0e-09
GO:0051050	positive regulation of transport	993	572	483.73	5.4e-09
GO:0043066	negative regulation of apoptotic process	961	555	468.14	5.5e-09
GO:0032496	response to lipopolysaccharide	301	196	146.63	5.6e-09
GO:0042267	natural killer cell mediated cytotoxicit...	89	70	43.36	5.9e-09
GO:0042742	defense response to bacterium	310	201	151.01	6.0e-09
GO:0032635	interleukin-6 production	177	124	86.22	6.2e-09
GO:0031348	negative regulation of defense response	282	185	137.37	6.4e-09
GO:0050678	regulation of epithelial cell proliferat...	410	257	199.73	6.4e-09
GO:0002504	antigen processing and presentation of p...	26	26	12.67	7.4e-09
GO:0061024	membrane organization	756	445	368.28	7.5e-09
GO:0050852	T cell receptor signaling pathway	144	104	70.15	7.5e-09
GO:0007249	canonical NF-kappaB signal transduction	253	168	123.25	8.4e-09
GO:0002720	positive regulation of cytokine producti...	99	76	48.23	9.6e-09
GO:0071346	cellular response to type II interferon	115	86	56.02	9.7e-09
GO:0035239	tube morphogenesis	949	547	462.3	1.0e-08
GO:0006468	protein phosphorylation	1445	807	703.92	1.1e-08
GO:0050729	positive regulation of inflammatory resp...	153	109	74.53	1.2e-08
GO:0071216	cellular response to biotic stimulus	252	167	122.76	1.2e-08
GO:0006909	phagocytosis	226	152	110.09	1.2e-08
GO:0140888	interferon-mediated signaling pathway	82	65	39.95	1.2e-08
GO:0048872	homeostasis of number of cells	394	247	191.93	1.2e-08
GO:0002715	regulation of natural killer cell mediat...	73	59	35.56	1.5e-08
GO:0032479	regulation of type I interferon producti...	132	96	64.3	1.6e-08
GO:0045071	negative regulation of viral genome repl...	64	53	31.18	1.6e-08
GO:0071219	cellular response to molecule of bacteri...	225	151	109.61	1.6e-08
GO:0032963	collagen metabolic process	119	88	57.97	1.7e-08
GO:0097193	intrinsic apoptotic signaling pathway	334	213	162.71	1.7e-08
GO:0010634	positive regulation of epithelial cell m...	162	114	78.92	1.7e-08
GO:0042102	positive regulation of T cell proliferat...	124	91	60.41	1.8e-08
GO:2000514	regulation of CD4-positive, alpha-beta T...	81	64	39.46	1.9e-08
GO:1901575	organic substance catabolic process	2017	1100	982.56	2.0e-08
GO:0002832	negative regulation of response to bioti...	144	103	70.15	2.1e-08
GO:0042832	defense response to protozoan	41	37	19.97	2.1e-08
GO:0002287	alpha-beta T cell activation involved in...	78	62	38	2.1e-08
GO:0014070	response to organic cyclic compound	757	443	368.77	2.2e-08
GO:0070201	regulation of establishment of protein l...	597	357	290.82	2.3e-08
GO:0046637	regulation of alpha-beta T cell differen...	75	60	36.54	2.3e-08
GO:0032606	type I interferon production	136	98	66.25	2.5e-08
GO:0071887	leukocyte apoptotic process	136	98	66.25	2.5e-08
GO:0050864	regulation of B cell activation	141	101	68.69	2.5e-08
GO:0032501	multicellular organismal process	8048	4111	3920.52	2.6e-08
GO:0010595	positive regulation of endothelial cell ...	110	82	53.59	2.7e-08
GO:0001667	ameboidal-type cell migration	460	282	224.09	2.8e-08
GO:0035295	tube development	1179	665	574.34	3.1e-08
GO:0002495	antigen processing and presentation of p...	24	24	11.69	3.1e-08
GO:0002293	alpha-beta T cell differentiation involv...	77	61	37.51	3.5e-08
GO:0070228	regulation of lymphocyte apoptotic proce...	74	59	36.05	3.8e-08
